pageIndex,area,price,plz,rooms,id
1,10,400,1007,1,3000236932
1,21,725,1007,1,3000267084
1,44,1050,1007,2,3000292764
1,25,1090,1007,1,3000267133
1,39,1190,1007,1,3000277230
1,21,1200,1007,1,3000234767
1,48,1290,1007,2.5,3000270546
1,38,1370,1007,2,3000087675
1,122,3600,1005,3.5,3000251832
1,,1420,1007,2,3000280346
1,50,1450,1007,2.5,3000222942
1,,1500,1007,2.5,3000223150
1,,1570,1007,2.5,3000303953
1,68,1650,1007,2.5,3000119001
1,50,1650,1007,2.5,3000291280
1,54,1660,1007,2.5,3000291515
1,56,1710,1007,2,3000271477
1,69,1790,1007,3.5,3000063334
1,20,840,1005,1,3000311613
1,23,1090,1005,1,3000126427
1,23,1110,1005,1,3000126429
1,31,1155,1005,1,3000302466
1,,1190,1005,1.5,3000107578
1,38,1215,1005,1.5,3000286604
1,22,1236,1005,1.5,3000195485
1,56,1400,1005,2.5,3000280244
1,55,1440,1005,2,3000249073
1,58,1450,1005,1.5,3000253363
1,82,1817,1007,3.5,3000262643
1,85,1890,1007,4.5,2147915384
1,,1900,1007,3,3000176799
1,31,840,1003,1,3000302467
1,50,1460,1005,2.5,3000312839
1,30,1507,1005,1.5,3000236830
1,43,1515,1005,2,3000143068
1,62,1550,1005,3,3000280423
1,63,1585,1005,3,3000283418
1,75,1755,1005,2.5,3000282890
1,79,1765,1005,2.5,3000312843
1,75,1770,1005,2.5,3000282891
1,77,1820,1005,3.5,3000249072
1,200,3650,1008,5.5,3000291745
1,22,1140,1003,1,3000304200
1,46,1275,1003,1,3000273912
1,48,1350,1003,2,3000280348
1,43,1600,1003,1.5,3000277466
1,63,1710,1003,3,3000251164
1,,1920,1003,3,3000260318
1,77,2000,1003,2.5,3000238436
1,170,3950,1008,4.5,3000239680
1,135,4110,1008,4,3000303309
1,335,6450,1008,10,3000183728
1,21,820,1008,1,3000186316
1,21,835,1008,1,3000301041
1,24,850,1008,1,3000288242
1,21,915,1008,1,3000274450
1,32,991,1008,1.5,3000282499
1,33,1035,1008,1,3000282528
1,43,1205,1008,2,3000257116
1,69,1300,1008,3.5,3000309579
1,46,1327,1008,2,3000233637
1,75,2035,1003,3,3000233652
1,102,2430,1003,2,3000303237
1,97,2450,1003,2.5,3000259289
1,101,2500,1003,2,2147873407
1,120,2510,1003,,3000205968
1,60,2675,1003,2.5,3000293773
1,115,2690,1003,4,3000153391
1,,2720,1003,3,3000235688
1,44,2800,1003,2.5,3000210720
1,,2850,1003,4,3000048098
1,,1335,1008,2.5,3000277736
1,48,1340,1008,2,3000169142
1,57,1390,1008,2.5,3000279927
1,49,1390,1008,2,3000225327
1,60,1510,1008,3.5,3000302464
1,54,1530,1008,2.5,3000143070
1,72,1600,1008,3,3000311014
1,121,2990,1003,4.5,3000296346
1,84,2990,1003,3,3000228054
1,180,4500,1009,5.5,3000288474
1,33,1390,1009,1.5,3000237213
1,13,510,1009,1,3000234082
1,22,750,1009,1,3000291160
1,21,750,1009,1,3000218707
1,20,800,1009,1,3000309166
1,,1000,1009,1,3000281983
1,35,1020,1009,1.5,3000249077
1,33,720,1006,1,3000288510
1,29,1035,1009,1,3000274494
1,25,1230,1009,1,3000246806
1,25,1280,1009,1,3000143102
1,52,1355,1009,2,2147992056
1,43,1400,1009,1,3000221080
1,55,1450,1009,1.5,3000277229
1,53,1480,1009,2.5,3000227998
1,26,840,1006,1,3000310288
1,33,1040,1006,1,3000298933
1,38,1065,1006,1,3000310711
1,,1250,1006,,3000288717
1,50,1340,1006,2.5,3000294667
1,58,1400,1006,2,3000261347
1,45,1400,1006,1.5,3000309339
1,60,1490,1006,2,3000178998
1,50,1550,1006,2,3000279261
1,55,1560,1006,2.5,3000282961
1,51,1650,1006,2,3000225295
1,54,1540,1009,2.5,3000292596
1,48,1630,1009,2.5,3000282936
1,,1650,1009,3.5,3000218196
1,70,1650,1009,2,3000276251
1,70,1940,1009,3,3000298705
1,25,870,1010,1,3000282960
1,42,1670,1006,1.5,3000205833
1,60,1710,1006,2,2147806344
1,70,1945,1006,2,3000277795
1,74,1990,1006,3.5,3000228398
1,74,2020,1006,3.5,3000234088
1,89,2320,1006,2.5,2148011019
1,77,2445,1006,3,3000306634
1,83,2465,1006,2,3000293467
1,48,1060,1010,1.5,3000313749
1,37,1160,1010,1,3000277782
1,32,1190,1010,1.5,3000274374
1,55,1200,1010,2,3000306042
1,33,1250,1010,1.5,3000309373
1,55,1350,1010,2.5,3000282591
1,56,1420,1010,2,3000234090
1,72,1525,1010,3,3000234084
1,52,1540,1010,2.5,3000297500
1,58,1630,1010,3.5,3000308771
1,72,1700,1010,3,3000277785
1,72,1720,1010,3,3000238518
1,69,1760,1010,2.5,3000191906
1,47,1800,1010,1.5,3000245852
1,86,1940,1010,3.5,3000131629
1,51,1940,1010,2.5,3000247192
1,82,2095,1010,3.5,3000249078
1,92,2108,1010,3.5,3000196165
1,79,2108,1010,3.5,3000212698
1,101,2355,1012,4.5,3000304451
1,29,910,1012,1.5,3000312820
1,42,1055,1012,2.5,3000133855
1,35,1170,1012,1,3000264343
1,37,1200,1012,2,3000301480
1,50,1220,1012,2.5,3000260870
1,43,1250,1012,2,3000291117
1,38,1250,1012,2,3000221093
1,52,1460,1012,2.5,3000309138
1,56,1475,1012,2,3000310055
1,40,1500,1012,2,3000261346
1,34,1570,1012,2.5,3000261368
1,70,1600,1012,2.5,3000297986
1,52,1600,1012,2.5,3000253580
1,69,1626,1012,3.5,3000289158
1,58,1650,1012,3,3000289209
1,54,1660,1012,2.5,3000184343
1,71,1700,1012,3.5,3000221092
1,46,1720,1012,2,3000289028
1,61,1765,1012,3.5,3000145730
1,,700,1018,1,3000304391
1,28,780,1018,1,3000312841
1,24,910,1018,1,3000289493
1,28,950,1018,1,3000289511
1,36,1100,1018,1.5,3000314494
1,24,1200,1018,1,3000207752
1,56,1350,1018,2,3000289167
1,51,1385,1018,2,3000256801
1,48,1390,1018,2,3000274005
1,65,1420,1018,3,3000243719
1,70,1430,1018,3,3000276278
1,44,1431,1018,2,3000139990
1,48,1437,1018,2,3000274011
1,60,1460,1018,3,3000224566
1,59,1460,1018,3,3000221120
1,60,1460,1018,2,3000246753
1,75,1530,1018,3,3000137198
1,70,1530,1018,3,3000210734
1,60,1540,1018,3,3000247764
1,64,1540,1018,2.5,3000205848
1,,1800,1004,3,3000220531
1,115,2850,1004,4.5,3000279625
1,32,860,1004,1,3000253128
1,25,865,1004,1,3000258961
1,12,890,1004,1,3000223628
1,,930,1004,1,3000304402
1,27,950,1004,1,3000299236
1,42,970,1004,2,3000302465
1,25,980,1004,1,3000306538
1,30,1225,1004,1,3000233647
1,46,1243,1004,2,3000264033
1,31,1260,1004,1,3000311016
1,45,1300,1004,2,3000274449
1,32,1340,1004,1,3000148941
1,44,1350,1004,1.5,3000235248
1,60,1380,1004,2.5,3000221134
1,62,1395,1004,3,3000302463
1,54,1400,1004,2.5,3000312842
1,72,1421,1004,3.5,3000291451
1,55,1425,1004,3,3000304240
1,27,830,1022,1,3000238105
1,57,1395,1022,2,3000296345
1,58,1400,1022,2.5,3000312813
1,48,1509,1022,2,3000300602
1,70,1590,1022,3.5,3000210742
1,68,1704,1022,3,3000282796
1,77,1740,1022,3.5,3000221018
1,81,1860,1022,3,3000293769
1,68,2051,1022,3.5,3000030785
1,68,2056,1022,3.5,2147835431
1,68,2071,1022,3.5,2147835429
1,100,2124,1022,4.5,3000126422
1,74,2151,1022,3.5,2147835430
1,100,2172,1022,4.5,3000306629
1,76,2193,1022,3.5,3000039987
1,76,2203,1022,3.5,3000030786
1,76,2203,1022,3.5,2147835413
1,78,2207,1022,3.5,2147835418
1,77,2216,1022,3.5,2147835415
1,76,2223,1022,3.5,2147835427
2,55,1820,1005,2,3000256494
2,66,1910,1005,2.5,3000250858
2,75,1990,1005,,3000210093
2,70,2025,1005,2.5,3000163976
2,91,2150,1005,3.5,3000208206
2,90,2200,1005,4.5,3000269934
2,56,2200,1005,2.5,3000279479
2,65,2295,1005,3,3000151492
2,90,2350,1005,5,3000293770
2,88,2410,1005,3,3000302947
2,89,2420,1005,3,3000302949
2,91,2450,1005,3,3000278944
2,97,2570,1005,5,3000250860
2,116,2680,1005,3.5,3000286727
2,82,2720,1005,4,3000247190
2,126,2790,1005,4.5,3000262036
2,115,3125,1005,5,3000264342
2,118,3150,1005,5.5,3000223756
2,110,3300,1005,5,3000206711
2,130,3350,1005,4.5,2148008007
2,70,1600,1008,3,3000282962
2,67,1600,1008,3,3000271843
2,40,1670,1008,2,3000282443
2,72,1710,1008,3.5,3000248729
2,68,1750,1008,3,3000282635
